Investor,Startup,Compatibility,Score
Potts Inc,Harris Group,Medium Compatibility,60.0
Morris-Brown,Nguyen PLC,Medium Compatibility,60.0
Potts Inc,"Gay, Hoffman and Rose",Medium Compatibility,60.0
Ryan LLC,Martinez Inc,Medium Compatibility,60.0
Miller and Sons,Martinez and Sons,Medium Compatibility,60.0
Miller and Sons,Combs-Rivera,Medium Compatibility,60.0
Maldonado PLC,"Hammond, Thornton and Michael",Medium Compatibility,60.0
Maldonado PLC,Manning Group,Medium Compatibility,60.0
Ryan LLC,"White, Odom and Burke",Medium Compatibility,60.0
Ryan LLC,Barrett and Sons,Medium Compatibility,60.0
Miller and Sons,Rivera Inc,Medium Compatibility,60.0
Miller and Sons,Manning Group,Medium Compatibility,60.0
Maldonado PLC,Combs-Rivera,Medium Compatibility,60.0
Hall PLC,"Gay, Hoffman and Rose",Medium Compatibility,60.0
Gibson-Jones,Barrett and Sons,Medium Compatibility,60.0
Maldonado PLC,Adkins-Dean,Medium Compatibility,60.0
Fleming Ltd,Brown-Burton,Medium Compatibility,59.5
Fleming Ltd,Brown-Watson,Medium Compatibility,59.5
Hutchinson PLC,Spencer and Sons,Medium Compatibility,59.5
Hall PLC,Johnston-Fuller,Medium Compatibility,59.5
Hall PLC,"Meadows, Stephens and Hernandez",Medium Compatibility,59.5
Hall PLC,Spencer and Sons,Medium Compatibility,59.5
Hopkins LLC,"Rogers, Larsen and Smith",Medium Compatibility,59.5
"Odonnell, Thornton and King",York-Ball,Medium Compatibility,59.5
"Odonnell, Thornton and King","Lee, Sosa and Hernandez",Medium Compatibility,59.5
Becker Ltd,Bell-Stephenson,Medium Compatibility,59.5
Potts Inc,Brown-Burton,Medium Compatibility,59.5
Becker Ltd,"Dalton, Nguyen and Webb",Medium Compatibility,59.5
Hutchinson PLC,Hunt LLC,Medium Compatibility,59.5
Hutchinson PLC,Hill-Huerta,Medium Compatibility,59.5
Hutchinson PLC,"Meadows, Stephens and Hernandez",Medium Compatibility,59.5
Barker and Sons,"Perkins, Moss and Moreno",Medium Compatibility,59.5
Barker and Sons,"Bennett, Green and Robles",Medium Compatibility,59.5
"Vaughn, Smith and Larson","Smith, Cunningham and Mays",Medium Compatibility,59.5
"Vaughn, Smith and Larson","Walker, Allen and Conrad",Medium Compatibility,59.5
Fleming Ltd,Nguyen PLC,Medium Compatibility,59.5
Fleming Ltd,"Crawford, Reyes and Smith",Medium Compatibility,59.5
Carney Group,"Walker, Allen and Conrad",Medium Compatibility,59.5
Shields PLC,Mata Ltd,Medium Compatibility,59.5
Williams-Melton,"Rogers, Larsen and Smith",Medium Compatibility,59.5
Carney Group,"Smith, Cunningham and Mays",Medium Compatibility,59.5
Shields PLC,Torres-Orr,Medium Compatibility,59.5
"Peterson, Turner and Meyers",Hunt LLC,Medium Compatibility,59.5
"Peterson, Turner and Meyers",Hill-Huerta,Medium Compatibility,59.5
"Peterson, Turner and Meyers","Meadows, Stephens and Hernandez",Medium Compatibility,59.5
Smith Group,"Rogers, Larsen and Smith",Medium Compatibility,59.5
"Peterson, Turner and Meyers",Johnston-Fuller,Medium Compatibility,59.5
Wilson-Miller,"Rogers, Larsen and Smith",Medium Compatibility,59.5
"Peterson, Turner and Meyers","Grant, Wright and Pearson",Medium Compatibility,59.5
"Peterson, Turner and Meyers",Hess-Wheeler,Medium Compatibility,59.5
"Peterson, Turner and Meyers",Spencer and Sons,Medium Compatibility,59.5
"Rush, Palmer and Perkins","Bennett, Green and Robles",Medium Compatibility,59.5
Casey-Cabrera,"Crawford, Reyes and Smith",Medium Compatibility,59.5
Williams-Hubbard,"Bennett, Green and Robles",Medium Compatibility,59.5
Grant PLC,Brown-Watson,Medium Compatibility,59.5
Grant PLC,Nguyen PLC,Medium Compatibility,59.5
Lopez Inc,Martin-Hudson,Medium Compatibility,59.5
Bowman-Henderson,"Smith, Cunningham and Mays",Medium Compatibility,59.5
Bowman-Henderson,"Walker, Allen and Conrad",Medium Compatibility,59.5
Lopez Inc,"Gay, Hoffman and Rose",Medium Compatibility,59.5
Grant PLC,Brown-Burton,Medium Compatibility,59.5
Grant PLC,"Crawford, Reyes and Smith",Medium Compatibility,59.5
Smith-Wright,Bell-Stephenson,Medium Compatibility,59.5
Smith-Wright,"Miller, Swanson and Allen",Medium Compatibility,59.5
Casey-Cabrera,Nguyen PLC,Medium Compatibility,59.5
Casey-Cabrera,Brown-Burton,Medium Compatibility,59.5
Casey-Cabrera,Brown-Watson,Medium Compatibility,59.5
Kirby-Foster,"Walker, Allen and Conrad",Medium Compatibility,59.5
Kirby-Foster,"Smith, Cunningham and Mays",Medium Compatibility,59.5
Smith-Wright,"Dalton, Nguyen and Webb",Medium Compatibility,59.5
Smith-Wright,Harris Group,Medium Compatibility,59.5
Martin Group,"Gay, Hoffman and Rose",Medium Compatibility,59.5
Martin Group,Martin-Hudson,Medium Compatibility,59.5
"Williamson, Cruz and Rice","Walker, Allen and Conrad",Medium Compatibility,59.5
Harris Ltd,"Rogers, Larsen and Smith",Medium Compatibility,59.5
"Williamson, Cruz and Rice","Smith, Cunningham and Mays",Medium Compatibility,59.5
Williams-Hubbard,"Perkins, Moss and Moreno",Medium Compatibility,59.5
French Ltd,Torres-Orr,Medium Compatibility,59.5
"King, Foster and Orr","Gay, Hoffman and Rose",Medium Compatibility,59.5
"King, Foster and Orr",Martin-Hudson,Medium Compatibility,59.5
Hutchinson PLC,"Grant, Wright and Pearson",Medium Compatibility,59.5
Hutchinson PLC,Hess-Wheeler,Medium Compatibility,59.5
Hutchinson PLC,Johnston-Fuller,Medium Compatibility,59.5
Maldonado PLC,"Gay, Hoffman and Rose",Medium Compatibility,55.0
Miller and Sons,"Perkins, Moss and Moreno",Medium Compatibility,55.0
Maldonado PLC,Martin-Hudson,Medium Compatibility,55.0
Ryan LLC,"Greene, Dyer and Owens",Medium Compatibility,54.0
Ryan LLC,"Fuentes, Hebert and Hunter",Medium Compatibility,54.0
Morris-Brown,York-Ball,Medium Compatibility,54.0
Becker Ltd,"Perkins, Moss and Moreno",Medium Compatibility,54.0
Becker Ltd,York-Ball,Medium Compatibility,54.0
Becker Ltd,Nguyen PLC,Medium Compatibility,54.0
Ryan LLC,"Bennett, Walker and Taylor",Medium Compatibility,54.0
Potts Inc,"Rogers, Larsen and Smith",Medium Compatibility,54.0
Gibson-Jones,Martinez Inc,Medium Compatibility,54.0
Ryan LLC,"Jackson, Scott and Mclean",Medium Compatibility,54.0
Ryan LLC,"Woodard, Beck and Kim",Medium Compatibility,54.0
"King, Mitchell and Williams",Hill-Huerta,Medium Compatibility,54.0
Morris-Brown,"Grant, Wright and Pearson",Medium Compatibility,54.0
"King, Mitchell and Williams","Perkins, Moss and Moreno",Medium Compatibility,54.0
Gibson-Jones,Hickman and Sons,Medium Compatibility,54.0
Gibson-Jones,Jensen-Roberts,Medium Compatibility,54.0
French Ltd,Hill-Huerta,Medium Compatibility,54.0
French Ltd,"Perkins, Moss and Moreno",Medium Compatibility,54.0
Gibson-Jones,"White, Odom and Burke",Medium Compatibility,54.0
French Ltd,York-Ball,Medium Compatibility,54.0
Bennett-Roberts,Barrett and Sons,Medium Compatibility,54.0
"Avery, Jackson and Simmons",Barrett and Sons,Medium Compatibility,54.0
"King, Mitchell and Williams",Nguyen PLC,Medium Compatibility,54.0
Ryan LLC,Taylor-Taylor,Medium Compatibility,54.0
Harris Ltd,Nguyen PLC,Low Compatibility,48.0
Morris-Brown,Hunt LLC,Low Compatibility,48.0
Morris-Brown,"Lee, Sosa and Hernandez",Low Compatibility,48.0
"Avery, Jackson and Simmons",Jensen-Roberts,Low Compatibility,48.0
Maldonado PLC,"Fischer, Oconnor and Wright",Low Compatibility,48.0
Gibson-Jones,"Bennett, Walker and Taylor",Low Compatibility,48.0
"King, Mitchell and Williams",Brown-Watson,Low Compatibility,48.0
Hall PLC,"Rogers, Larsen and Smith",Low Compatibility,48.0
Hall PLC,Mata Ltd,Low Compatibility,48.0
"King, Mitchell and Williams","Crawford, Reyes and Smith",Low Compatibility,48.0
Ryan LLC,Combs-Rivera,Low Compatibility,48.0
Smith-Wright,"Perkins, Moss and Moreno",Low Compatibility,48.0
Morris-Brown,Brown-Watson,Low Compatibility,48.0
Smith-Wright,Nguyen PLC,Low Compatibility,48.0
Morris-Brown,Hess-Wheeler,Low Compatibility,48.0
Harris Ltd,"Perkins, Moss and Moreno",Low Compatibility,48.0
"King, Mitchell and Williams","Grant, Wright and Pearson",Low Compatibility,48.0
"King, Mitchell and Williams",Hess-Wheeler,Low Compatibility,48.0
Potts Inc,Bell-Stephenson,Low Compatibility,48.0
Harris Ltd,Hill-Huerta,Low Compatibility,48.0
Ryan LLC,"Hammond, Thornton and Michael",Low Compatibility,48.0
Ryan LLC,Taylor LLC,Low Compatibility,48.0
Morris-Brown,"Crawford, Reyes and Smith",Low Compatibility,48.0
"Aguirre, Vincent and Chang",Hickman and Sons,Low Compatibility,48.0
"Aguirre, Vincent and Chang",Jensen-Roberts,Low Compatibility,48.0
"Aguirre, Vincent and Chang",Barrett and Sons,Low Compatibility,48.0
Becker Ltd,Brown-Watson,Low Compatibility,48.0
French Ltd,Hunt LLC,Low Compatibility,48.0
French Ltd,"Grant, Wright and Pearson",Low Compatibility,48.0
French Ltd,Hess-Wheeler,Low Compatibility,48.0
"Rush, Palmer and Perkins","Miller, Swanson and Allen",Low Compatibility,48.0
"Rush, Palmer and Perkins",Martin-Hudson,Low Compatibility,48.0
Becker Ltd,"Crawford, Reyes and Smith",Low Compatibility,48.0
Gibson-Jones,"Woodard, Beck and Kim",Low Compatibility,48.0
Gibson-Jones,"Edwards, Cabrera and Miller",Low Compatibility,48.0
"King, Mitchell and Williams",Hunt LLC,Low Compatibility,48.0
Maldonado PLC,Padilla Inc,Low Compatibility,48.0
Ryan LLC,Martinez and Sons,Low Compatibility,48.0
Gibson-Jones,"Greene, Dyer and Owens",Low Compatibility,48.0
Gibson-Jones,"Warren, Prince and Walker",Low Compatibility,48.0
Bennett-Roberts,Jensen-Roberts,Low Compatibility,48.0
Bennett-Roberts,"Bennett, Walker and Taylor",Low Compatibility,48.0
Bennett-Roberts,Martinez Inc,Low Compatibility,48.0
Bennett-Roberts,Hickman and Sons,Low Compatibility,48.0
Bennett-Roberts,"White, Odom and Burke",Low Compatibility,48.0
"Avery, Jackson and Simmons",Hickman and Sons,Low Compatibility,48.0
Hall PLC,Torres-Orr,Low Compatibility,48.0
"Avery, Jackson and Simmons","Jackson, Scott and Mclean",Low Compatibility,48.0
"Rush, Palmer and Perkins","Gay, Hoffman and Rose",Low Compatibility,48.0
"Avery, Jackson and Simmons","Bennett, Walker and Taylor",Low Compatibility,48.0
"Avery, Jackson and Simmons",Martinez Inc,Low Compatibility,48.0
Maldonado PLC,"Edwards, Cabrera and Miller",Low Compatibility,45.0
Maldonado PLC,Rivera Inc,Low Compatibility,45.0
Maldonado PLC,Taylor-Taylor,Low Compatibility,45.0
Miller and Sons,"Edwards, Cabrera and Miller",Low Compatibility,45.0
Ryan LLC,Martin-Hudson,Low Compatibility,45.0
Gibson-Jones,"Gay, Hoffman and Rose",Low Compatibility,45.0
Miller and Sons,"Greene, Dyer and Owens",Low Compatibility,45.0
Miller and Sons,"Meadows, Stephens and Hernandez",Low Compatibility,45.0
Miller and Sons,"Warren, Prince and Walker",Low Compatibility,45.0
Miller and Sons,Spencer and Sons,Low Compatibility,45.0
Ryan LLC,Brown-Watson,Low Compatibility,45.0
Gibson-Jones,Martin-Hudson,Low Compatibility,45.0
Miller and Sons,"Woodard, Beck and Kim",Low Compatibility,45.0
Ryan LLC,"Perkins, Moss and Moreno",Low Compatibility,45.0
Gibson-Jones,Nguyen PLC,Low Compatibility,45.0
Ryan LLC,York-Ball,Low Compatibility,45.0
Ryan LLC,"Gay, Hoffman and Rose",Low Compatibility,45.0
Maldonado PLC,Martinez and Sons,Low Compatibility,45.0
Gibson-Jones,Hill-Huerta,Low Compatibility,45.0
Hall PLC,Barrett and Sons,Low Compatibility,45.0
Potts Inc,Hickman and Sons,Low Compatibility,45.0
Potts Inc,"White, Odom and Burke",Low Compatibility,45.0
Morris-Brown,Barrett and Sons,Low Compatibility,45.0
Potts Inc,Jensen-Roberts,Low Compatibility,45.0
"Berry, Williams and Bean","White, Odom and Burke",Low Compatibility,42.0
Gordon PLC,Brown-Watson,Low Compatibility,42.0
Gordon PLC,Nguyen PLC,Low Compatibility,42.0
Gordon PLC,"Grant, Wright and Pearson",Low Compatibility,42.0
Gordon PLC,Hess-Wheeler,Low Compatibility,42.0
Gordon PLC,Spencer and Sons,Low Compatibility,42.0
"Berry, Williams and Bean",Manning Group,Low Compatibility,42.0
"Berry, Williams and Bean","Greene, Dyer and Owens",Low Compatibility,42.0
"Berry, Williams and Bean",Combs-Rivera,Low Compatibility,42.0
Gibson-Jones,Taylor LLC,Low Compatibility,42.0
Williams-Hubbard,"Rogers, Larsen and Smith",Low Compatibility,42.0
Williams-Hubbard,Mata Ltd,Low Compatibility,42.0
Williams-Hubbard,Bell-Stephenson,Low Compatibility,42.0
Williams-Hubbard,"Miller, Swanson and Allen",Low Compatibility,42.0
"Berry, Williams and Bean",Torres Inc,Low Compatibility,42.0
"Berry, Williams and Bean",Barrett and Sons,Low Compatibility,42.0
"Berry, Williams and Bean",Martinez and Sons,Low Compatibility,42.0
Gordon PLC,Hill-Huerta,Low Compatibility,42.0
Gordon PLC,"Crawford, Reyes and Smith",Low Compatibility,42.0
Gordon PLC,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
French Ltd,"Smith, Cunningham and Mays",Low Compatibility,42.0
French Ltd,"Walker, Allen and Conrad",Low Compatibility,42.0
Gibson-Jones,Rivera Inc,Low Compatibility,42.0
Gibson-Jones,Torres Inc,Low Compatibility,42.0
Williams-Hubbard,"Dalton, Nguyen and Webb",Low Compatibility,42.0
Gordon PLC,"Lee, Sosa and Hernandez",Low Compatibility,42.0
Gordon PLC,York-Ball,Low Compatibility,42.0
Gordon PLC,Johnston-Fuller,Low Compatibility,42.0
Gordon PLC,Brown-Burton,Low Compatibility,42.0
Gibson-Jones,Martinez and Sons,Low Compatibility,42.0
Johnson-Hale,"Greene, Dyer and Owens",Low Compatibility,42.0
Williams-Hubbard,Martin-Hudson,Low Compatibility,42.0
Ryan LLC,Manning Group,Low Compatibility,42.0
Hutchinson PLC,"Rogers, Larsen and Smith",Low Compatibility,42.0
"Berry, Williams and Bean",Murphy PLC,Low Compatibility,42.0
"Berry, Williams and Bean","Edwards, Cabrera and Miller",Low Compatibility,42.0
French Ltd,"Lee, Sosa and Hernandez",Low Compatibility,42.0
French Ltd,Johnston-Fuller,Low Compatibility,42.0
"Berry, Williams and Bean",Jensen-Roberts,Low Compatibility,42.0
"Berry, Williams and Bean",Rivera Inc,Low Compatibility,42.0
Gibson-Jones,Murphy PLC,Low Compatibility,42.0
Harris Ltd,"Bennett, Green and Robles",Low Compatibility,42.0
Johnson-Hale,Taylor LLC,Low Compatibility,42.0
"Williamson, Cruz and Rice",Torres-Orr,Low Compatibility,42.0
"Williamson, Cruz and Rice","Rogers, Larsen and Smith",Low Compatibility,42.0
Johnson-Hale,"Woodard, Beck and Kim",Low Compatibility,42.0
Johnson-Hale,Hickman and Sons,Low Compatibility,42.0
Johnson-Hale,"Warren, Prince and Walker",Low Compatibility,42.0
Johnson-Hale,"White, Odom and Burke",Low Compatibility,42.0
Johnson-Hale,Manning Group,Low Compatibility,42.0
Harris Ltd,Johnston-Fuller,Low Compatibility,42.0
Johnson-Hale,Jensen-Roberts,Low Compatibility,42.0
Johnson-Hale,Rivera Inc,Low Compatibility,42.0
Johnson-Hale,Taylor-Taylor,Low Compatibility,42.0
Johnson-Hale,"Fischer, Oconnor and Wright",Low Compatibility,42.0
Johnson-Hale,Torres Inc,Low Compatibility,42.0
Johnson-Hale,"Jackson, Scott and Mclean",Low Compatibility,42.0
Johnson-Hale,Martinez and Sons,Low Compatibility,42.0
Johnson-Hale,Padilla Inc,Low Compatibility,42.0
Johnson-Hale,"Hammond, Thornton and Michael",Low Compatibility,42.0
French Ltd,Spencer and Sons,Low Compatibility,42.0
French Ltd,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
Harris Ltd,"Smith, Cunningham and Mays",Low Compatibility,42.0
Harris Ltd,"Walker, Allen and Conrad",Low Compatibility,42.0
Harris Ltd,Hunt LLC,Low Compatibility,42.0
Ryan LLC,Padilla Inc,Low Compatibility,42.0
"Williamson, Cruz and Rice","Dalton, Nguyen and Webb",Low Compatibility,42.0
Harris Ltd,Brown-Burton,Low Compatibility,42.0
Harris Ltd,Brown-Watson,Low Compatibility,42.0
Harris Ltd,"Grant, Wright and Pearson",Low Compatibility,42.0
Harris Ltd,Hess-Wheeler,Low Compatibility,42.0
"King, Mitchell and Williams",Spencer and Sons,Low Compatibility,42.0
"King, Mitchell and Williams","Meadows, Stephens and Hernandez",Low Compatibility,42.0
Johnson-Hale,Adkins-Dean,Low Compatibility,42.0
Johnson-Hale,"Fuentes, Hebert and Hunter",Low Compatibility,42.0
Johnson-Hale,"Edwards, Cabrera and Miller",Low Compatibility,42.0
Harris Ltd,Spencer and Sons,Low Compatibility,42.0
Harris Ltd,"Crawford, Reyes and Smith",Low Compatibility,42.0
Harris Ltd,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
Smith-Wright,"Smith, Cunningham and Mays",Low Compatibility,42.0
Smith-Wright,"Walker, Allen and Conrad",Low Compatibility,42.0
"Williamson, Cruz and Rice",Harris Group,Low Compatibility,42.0
Ryan LLC,"Fischer, Oconnor and Wright",Low Compatibility,42.0
Ryan LLC,Torres Inc,Low Compatibility,42.0
"King, Mitchell and Williams",Johnston-Fuller,Low Compatibility,42.0
Smith-Wright,"Bennett, Green and Robles",Low Compatibility,42.0
Smith-Wright,"Lee, Sosa and Hernandez",Low Compatibility,42.0
Smith-Wright,York-Ball,Low Compatibility,42.0
"King, Mitchell and Williams",Brown-Burton,Low Compatibility,42.0
"Williamson, Cruz and Rice",Mata Ltd,Low Compatibility,42.0
"Williamson, Cruz and Rice",Bell-Stephenson,Low Compatibility,42.0
"Williamson, Cruz and Rice","Miller, Swanson and Allen",Low Compatibility,42.0
Kirby-Foster,Torres-Orr,Low Compatibility,42.0
"Aguirre, Vincent and Chang",Combs-Rivera,Low Compatibility,42.0
Ryan LLC,Adkins-Dean,Low Compatibility,42.0
Ryan LLC,Murphy PLC,Low Compatibility,42.0
"Aguirre, Vincent and Chang","Warren, Prince and Walker",Low Compatibility,42.0
Kirby-Foster,Harris Group,Low Compatibility,42.0
Kirby-Foster,"Dalton, Nguyen and Webb",Low Compatibility,42.0
Kirby-Foster,Mata Ltd,Low Compatibility,42.0
Kirby-Foster,Bell-Stephenson,Low Compatibility,42.0
Kirby-Foster,"Miller, Swanson and Allen",Low Compatibility,42.0
"Phillips, Vincent and Mcintosh","Greene, Dyer and Owens",Low Compatibility,42.0
Smith-Wright,Brown-Burton,Low Compatibility,42.0
Smith-Wright,Brown-Watson,Low Compatibility,42.0
"Phillips, Vincent and Mcintosh",Combs-Rivera,Low Compatibility,42.0
"King, Mitchell and Williams","Smith, Cunningham and Mays",Low Compatibility,42.0
"King, Mitchell and Williams","Walker, Allen and Conrad",Low Compatibility,42.0
"King, Mitchell and Williams","Bennett, Green and Robles",Low Compatibility,42.0
"Aguirre, Vincent and Chang","Jackson, Scott and Mclean",Low Compatibility,42.0
"Aguirre, Vincent and Chang",Padilla Inc,Low Compatibility,42.0
"Aguirre, Vincent and Chang","Hammond, Thornton and Michael",Low Compatibility,42.0
Smith-Wright,"Crawford, Reyes and Smith",Low Compatibility,42.0
"Phillips, Vincent and Mcintosh","Woodard, Beck and Kim",Low Compatibility,42.0
"Phillips, Vincent and Mcintosh","White, Odom and Burke",Low Compatibility,42.0
"Phillips, Vincent and Mcintosh",Manning Group,Low Compatibility,42.0
Kirby-Foster,"Rogers, Larsen and Smith",Low Compatibility,42.0
"Aguirre, Vincent and Chang","Bennett, Walker and Taylor",Low Compatibility,42.0
"Aguirre, Vincent and Chang",Martinez Inc,Low Compatibility,42.0
"Aguirre, Vincent and Chang",Taylor LLC,Low Compatibility,42.0
"Aguirre, Vincent and Chang",Rivera Inc,Low Compatibility,42.0
"Aguirre, Vincent and Chang",Taylor-Taylor,Low Compatibility,42.0
"Aguirre, Vincent and Chang","Fischer, Oconnor and Wright",Low Compatibility,42.0
"Aguirre, Vincent and Chang",Torres Inc,Low Compatibility,42.0
Williams-Hubbard,Harris Group,Low Compatibility,42.0
Smith Group,"Crawford, Reyes and Smith",Low Compatibility,42.0
Smith Group,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
Gordon PLC,"Smith, Cunningham and Mays",Low Compatibility,42.0
Gordon PLC,"Walker, Allen and Conrad",Low Compatibility,42.0
Gordon PLC,Hunt LLC,Low Compatibility,42.0
Barker and Sons,"Miller, Swanson and Allen",Low Compatibility,42.0
Barker and Sons,Martin-Hudson,Low Compatibility,42.0
"Phillips, Vincent and Mcintosh","Fischer, Oconnor and Wright",Low Compatibility,42.0
"Phillips, Vincent and Mcintosh",Torres Inc,Low Compatibility,42.0
"Phillips, Vincent and Mcintosh","Jackson, Scott and Mclean",Low Compatibility,42.0
"Phillips, Vincent and Mcintosh",Barrett and Sons,Low Compatibility,42.0
"Phillips, Vincent and Mcintosh",Martinez and Sons,Low Compatibility,42.0
"Phillips, Vincent and Mcintosh",Padilla Inc,Low Compatibility,42.0
"Phillips, Vincent and Mcintosh","Hammond, Thornton and Michael",Low Compatibility,42.0
"Phillips, Vincent and Mcintosh","Bennett, Walker and Taylor",Low Compatibility,42.0
"Phillips, Vincent and Mcintosh",Martinez Inc,Low Compatibility,42.0
"Phillips, Vincent and Mcintosh",Taylor LLC,Low Compatibility,42.0
Martin Group,Hunt LLC,Low Compatibility,42.0
Martin Group,"Bennett, Green and Robles",Low Compatibility,42.0
Martin Group,"Perkins, Moss and Moreno",Low Compatibility,42.0
Martin Group,"Lee, Sosa and Hernandez",Low Compatibility,42.0
Martin Group,York-Ball,Low Compatibility,42.0
Casey-Cabrera,"Gay, Hoffman and Rose",Low Compatibility,42.0
Martin Group,Spencer and Sons,Low Compatibility,42.0
Martin Group,Hill-Huerta,Low Compatibility,42.0
Martin Group,"Crawford, Reyes and Smith",Low Compatibility,42.0
Martin Group,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
"Phillips, Vincent and Mcintosh",Adkins-Dean,Low Compatibility,42.0
"Phillips, Vincent and Mcintosh","Fuentes, Hebert and Hunter",Low Compatibility,42.0
"Phillips, Vincent and Mcintosh",Murphy PLC,Low Compatibility,42.0
"Phillips, Vincent and Mcintosh",Taylor-Taylor,Low Compatibility,42.0
Martin Group,Johnston-Fuller,Low Compatibility,42.0
Martin Group,Brown-Burton,Low Compatibility,42.0
Martin Group,Brown-Watson,Low Compatibility,42.0
Martin Group,Nguyen PLC,Low Compatibility,42.0
Martin Group,"Grant, Wright and Pearson",Low Compatibility,42.0
Martin Group,Hess-Wheeler,Low Compatibility,42.0
Miller and Sons,Torres Inc,Low Compatibility,42.0
"Rush, Palmer and Perkins","Rogers, Larsen and Smith",Low Compatibility,42.0
"Rush, Palmer and Perkins",Harris Group,Low Compatibility,42.0
Carney Group,"Miller, Swanson and Allen",Low Compatibility,42.0
"Aguirre, Vincent and Chang",Adkins-Dean,Low Compatibility,42.0
"Aguirre, Vincent and Chang","Fuentes, Hebert and Hunter",Low Compatibility,42.0
"Aguirre, Vincent and Chang",Murphy PLC,Low Compatibility,42.0
"Aguirre, Vincent and Chang","Edwards, Cabrera and Miller",Low Compatibility,42.0
Casey-Cabrera,"Rogers, Larsen and Smith",Low Compatibility,42.0
Casey-Cabrera,Harris Group,Low Compatibility,42.0
Casey-Cabrera,"Dalton, Nguyen and Webb",Low Compatibility,42.0
Casey-Cabrera,Bell-Stephenson,Low Compatibility,42.0
"Rush, Palmer and Perkins","Dalton, Nguyen and Webb",Low Compatibility,42.0
"Rush, Palmer and Perkins",Mata Ltd,Low Compatibility,42.0
"Rush, Palmer and Perkins",Bell-Stephenson,Low Compatibility,42.0
Thompson and Sons,"Walker, Allen and Conrad",Low Compatibility,42.0
Carney Group,Mata Ltd,Low Compatibility,42.0
Carney Group,Bell-Stephenson,Low Compatibility,42.0
Casey-Cabrera,"Miller, Swanson and Allen",Low Compatibility,42.0
Casey-Cabrera,Martin-Hudson,Low Compatibility,42.0
Hodges-Mendoza,Adkins-Dean,Low Compatibility,42.0
Hodges-Mendoza,"Fuentes, Hebert and Hunter",Low Compatibility,42.0
Hodges-Mendoza,Murphy PLC,Low Compatibility,42.0
Bowman-Henderson,Mata Ltd,Low Compatibility,42.0
Bowman-Henderson,Bell-Stephenson,Low Compatibility,42.0
Bowman-Henderson,"Miller, Swanson and Allen",Low Compatibility,42.0
"Rush, Palmer and Perkins",Torres-Orr,Low Compatibility,42.0
Miller and Sons,Murphy PLC,Low Compatibility,42.0
Carney Group,"Rogers, Larsen and Smith",Low Compatibility,42.0
Carney Group,Harris Group,Low Compatibility,42.0
Carney Group,"Dalton, Nguyen and Webb",Low Compatibility,42.0
Gibson-Jones,Manning Group,Low Compatibility,42.0
Gibson-Jones,Combs-Rivera,Low Compatibility,42.0
Miller-Johnson,Adkins-Dean,Low Compatibility,42.0
Williams-Hubbard,"Gay, Hoffman and Rose",Low Compatibility,42.0
Williams-Hubbard,Torres-Orr,Low Compatibility,42.0
Thompson and Sons,"Smith, Cunningham and Mays",Low Compatibility,42.0
Smith Group,"Grant, Wright and Pearson",Low Compatibility,42.0
Smith Group,Hess-Wheeler,Low Compatibility,42.0
Smith Group,Spencer and Sons,Low Compatibility,42.0
Smith Group,Hill-Huerta,Low Compatibility,42.0
Lopez Inc,Nguyen PLC,Low Compatibility,42.0
Lopez Inc,"Grant, Wright and Pearson",Low Compatibility,42.0
Lopez Inc,Hess-Wheeler,Low Compatibility,42.0
Grant PLC,"Gay, Hoffman and Rose",Low Compatibility,42.0
Lopez Inc,Spencer and Sons,Low Compatibility,42.0
Lopez Inc,Hill-Huerta,Low Compatibility,42.0
Lopez Inc,"Crawford, Reyes and Smith",Low Compatibility,42.0
Lopez Inc,"Meadows, Stephens and Hernandez",Low Compatibility,42.0
Bowman-Henderson,Torres-Orr,Low Compatibility,42.0
Bowman-Henderson,"Rogers, Larsen and Smith",Low Compatibility,42.0
Bowman-Henderson,Harris Group,Low Compatibility,42.0
Bowman-Henderson,"Dalton, Nguyen and Webb",Low Compatibility,42.0
Hodges-Mendoza,Padilla Inc,Low Compatibility,42.0
Hodges-Mendoza,"Hammond, Thornton and Michael",Low Compatibility,42.0
Hodges-Mendoza,"Bennett, Walker and Taylor",Low Compatibility,42.0
Hodges-Mendoza,Martinez Inc,Low Compatibility,42.0
Hodges-Mendoza,"Woodard, Beck and Kim",Low Compatibility,42.0
Grant PLC,"Rogers, Larsen and Smith",Low Compatibility,42.0
Grant PLC,Harris Group,Low Compatibility,42.0
Grant PLC,"Dalton, Nguyen and Webb",Low Compatibility,42.0
Lopez Inc,Hunt LLC,Low Compatibility,42.0
Lopez Inc,"Bennett, Green and Robles",Low Compatibility,42.0
Lopez Inc,"Perkins, Moss and Moreno",Low Compatibility,42.0
Lopez Inc,"Lee, Sosa and Hernandez",Low Compatibility,42.0
Lopez Inc,York-Ball,Low Compatibility,42.0
Lopez Inc,Johnston-Fuller,Low Compatibility,42.0
Lopez Inc,Brown-Burton,Low Compatibility,42.0
Lopez Inc,Brown-Watson,Low Compatibility,42.0
Hodges-Mendoza,Combs-Rivera,Low Compatibility,42.0
Grant PLC,Bell-Stephenson,Low Compatibility,42.0
Grant PLC,"Miller, Swanson and Allen",Low Compatibility,42.0
